# Bundled climate for the Vintage Story Farming Dashboard
# Synthesized from the user's /debug exptempplot CSV + Environment HUD readings.
#   Server daysPerMonth: 20  (year = 240 days, 12 months)
#   WorldGenTemperature: 4.9°C
#   Rainfall: 89%  (drives diurnal amplitude)
#   Hemisphere: North
#   Latitude: 0.59 N  (fit from real seasonal amplitude in CSV)
# Generated using Temperature.cs deterministic model. Real game adds
# ±3°C yearly noise + ±1°C daily noise on top of these values.
#
day,avg,min,max
65,1.61,-1.79,4.94
66,2.20,-1.20,5.53
67,2.80,-0.61,6.12
68,3.39,-0.01,6.72
69,3.99,0.59,7.32
70,4.59,1.19,7.92
71,5.19,1.78,8.51
72,5.79,2.38,9.11
73,6.38,2.98,9.71
74,6.98,3.58,10.31
75,7.57,4.17,10.90
76,8.16,4.77,11.49
77,8.75,5.35,12.08
78,9.34,5.94,12.66
79,9.91,6.52,13.24
80,10.49,7.09,13.81
81,11.05,7.66,14.37
82,11.61,8.22,14.93
83,12.16,8.78,15.48
84,12.71,9.33,16.03
85,13.24,9.86,16.56
86,13.77,10.39,17.08
87,14.29,10.91,17.60
88,14.80,11.42,18.11
89,15.29,11.92,18.60
90,15.78,12.41,19.08
91,16.25,12.89,19.55
92,16.71,13.36,20.01
93,17.16,13.81,20.46
94,17.60,14.25,20.89
95,18.02,14.68,21.31
96,18.43,15.09,21.72
97,18.83,15.49,22.11
98,19.21,15.88,22.49
99,19.57,16.25,22.86
100,19.93,16.60,23.21
101,20.26,16.95,23.54
102,20.59,17.27,23.86
103,20.89,17.59,24.17
104,21.19,17.88,24.45
105,21.46,18.16,24.73
106,21.72,18.43,24.99
107,21.97,18.68,25.23
108,22.20,18.91,25.46
109,22.41,19.13,25.67
110,22.61,19.34,25.87
111,22.80,19.53,26.05
112,22.97,19.70,26.22
113,23.13,19.87,26.37
114,23.27,20.01,26.51
115,23.40,20.14,26.64
116,23.51,20.26,26.75
117,23.61,20.37,26.85
118,23.70,20.46,26.94
119,23.78,20.54,27.01
120,23.85,20.61,27.08
121,23.91,20.67,27.13
122,23.95,20.72,27.17
123,23.99,20.76,27.21
124,24.02,20.80,27.24
125,24.04,20.82,27.26
126,24.06,20.84,27.27
127,24.07,20.85,27.28
128,24.07,20.86,27.29
129,24.07,20.86,27.29
130,24.07,20.86,27.29
131,24.07,20.86,27.29
132,24.07,20.86,27.29
133,24.07,20.86,27.29
134,24.07,20.85,27.28
135,24.06,20.84,27.27
136,24.04,20.83,27.25
137,24.02,20.81,27.23
138,23.99,20.79,27.20
139,23.95,20.75,27.16
140,23.91,20.71,27.11
141,23.85,20.66,27.06
142,23.79,20.59,26.99
143,23.71,20.52,26.91
144,23.62,20.43,26.82
145,23.52,20.34,26.71
146,23.40,20.23,26.59
147,23.27,20.10,26.46
148,23.13,19.96,26.32
149,22.98,19.81,26.16
150,22.81,19.65,25.99
151,22.62,19.47,25.80
152,22.42,19.27,25.60
153,22.21,19.06,25.38
154,21.98,18.84,25.15
155,21.73,18.60,24.90
156,21.47,18.34,24.64
157,21.20,18.07,24.36
158,20.91,17.78,24.07
159,20.60,17.48,23.76
160,20.28,17.17,23.43
161,19.94,16.83,23.09
162,19.59,16.49,22.74
163,19.22,16.13,22.37
164,18.84,15.75,21.99
165,18.45,15.36,21.59
166,18.04,14.95,21.18
167,17.62,14.54,20.75
168,17.18,14.10,20.31
169,16.73,13.66,19.86
170,16.27,13.20,19.40
171,15.80,12.73,18.92
172,15.31,12.25,18.44
173,14.82,11.76,17.94
174,14.31,11.26,17.43
175,13.79,10.74,16.91
176,13.27,10.22,16.38
177,12.73,9.69,15.85
178,12.19,9.14,15.30
179,11.64,8.59,14.75
180,11.08,8.04,14.19
181,10.51,7.47,13.62
182,9.94,6.90,13.04
183,9.36,6.33,12.47
184,8.78,5.74,11.88
185,8.19,5.16,11.29
186,7.60,4.57,10.70
187,7.00,3.98,10.11
188,6.41,3.38,9.51
189,5.81,2.78,8.91
190,5.21,2.18,8.31
191,4.61,1.59,7.72
192,4.01,0.99,7.12
193,3.42,0.39,6.52
194,2.82,-0.21,5.92
195,2.23,-0.80,5.33
196,1.64,-1.40,4.74
197,1.05,-1.98,4.15
198,0.46,-2.57,3.57
199,-0.11,-3.15,2.99
200,-0.69,-3.72,2.42
201,-1.25,-4.29,1.86
202,-1.81,-4.85,1.30
203,-2.36,-5.41,0.75
204,-2.91,-5.96,0.20
205,-3.44,-6.49,-0.33
206,-3.97,-7.02,-0.85
207,-4.49,-7.54,-1.37
208,-5.00,-8.05,-1.88
209,-5.49,-8.55,-2.37
210,-5.98,-9.04,-2.85
211,-6.45,-9.52,-3.32
212,-6.91,-9.99,-3.78
213,-7.36,-10.44,-4.23
214,-7.80,-10.88,-4.66
215,-8.22,-11.31,-5.08
216,-8.63,-11.72,-5.49
217,-9.03,-12.12,-5.88
218,-9.41,-12.51,-6.26
219,-9.77,-12.88,-6.63
220,-10.13,-13.23,-6.98
221,-10.46,-13.58,-7.31
222,-10.79,-13.90,-7.63
223,-11.09,-14.22,-7.94
224,-11.39,-14.51,-8.22
225,-11.66,-14.79,-8.50
226,-11.92,-15.06,-8.76
227,-12.17,-15.31,-9.00
228,-12.40,-15.54,-9.23
229,-12.61,-15.76,-9.44
230,-12.81,-15.97,-9.64
231,-13.00,-16.16,-9.82
232,-13.17,-16.33,-9.99
233,-13.33,-16.50,-10.14
234,-13.47,-16.64,-10.28
235,-13.60,-16.77,-10.41
236,-13.71,-16.89,-10.52
237,-13.81,-17.00,-10.62
238,-13.90,-17.09,-10.71
239,-13.98,-17.17,-10.78
240,-14.05,-17.24,-10.85
